direction,continuous_down_in,maturity_bucket,di_position_bucket,worst_performance,performance_1,initial_fixing_1,performance_2,initial_fixing_2,performance_3,initial_fixing_3,months_to_expiry,years_to_expiry,down_in_barrier,autocall_bucket,autocall_barrier,di_relative_gap,di_log_distance,autocall_log_distance
down,True,1,0,0.9264521495687952,0.9541076120484918,1.048099802760169,1.0480992899372612,0.9541080788823544,0.9264521495687952,1.0793865613733389,4.293889735464132,0.357824144622011,0.6207932161098356,3,1.031618332657718,0.3299241451393085,0.4003643567956095,-0.10752164699373516
up,True,2,2,1.4971613462324327,1.632188383229148,0.6126743764844005,1.5990629383311596,0.6253662542161327,1.4971613462324327,0.6679306826324857,10.767288238903468,0.8972740199086223,0.8095814792989187,1,0.9752658345781454,0.45925568988525567,0.6148087364146942,0.4286160736414571
up,True,0,1,1.9443365646800095,1.9652145812463409,0.5088502851255048,1.958064914940471,0.5107082979577324,1.9443365646800095,0.5143142489657266,2.943057197897506,0.24525476649145883,0.7542474925970175,0,0.9225122968802018,0.6120797673106825,0.9469555463468062,0.7455753942372703
down,True,2,3,0.5267302917621155,0.5628013364886865,1.7768259155868267,0.5267302917621155,1.8985048242709095,0.6176343054627761,1.6190810503162192,10.17485433764872,0.8479045281373933,0.521520119367538,1,0.9515372389966795,0.009891537426388595,0.009940783699394891,-0.5913901859191769
up,False,3,3,1.0956747560189781,1.4052302296683945,0.7116271617896944,1.0956747560189781,0.9126796017765322,1.1025469902550034,0.9069908211066037,14.5970080448726,1.2164173370727167,0.8794684751173277,2,1.0062188271491663,0.19732706235490333,0.2198079485712857,0.0851708189879456
up,False,3,3,1.8723090082065184,1.8803819302524272,0.5318068547200714,1.887861764492115,0.5296998004877898,1.8723090082065184,0.5340998711307267,12.001567209048495,1.0001306007540414,0.8701188325963203,1,0.9615877425060049,0.535269643641887,0.766297920389274,0.6663418951798704
down,False,3,0,0.6038840683780479,0.6038840683780479,1.6559469811579344,0.6632201236028482,1.5077950207054083,0.6229541058580257,1.6052546898661986,17.928184100307334,1.494015341692278,0.4628030080164002,0,0.9097104519092399,0.2336227560044308,0.26608074483889166,-0.4097441244237022
down,True,2,2,0.9455404918035444,1.0050984541593757,0.9949274082172976,0.9455404918035444,1.057596167132492,1.0168094708577653,0.9834684163163969,7.178113829528527,0.5981761524607107,0.8231425656882655,4,1.0664230672657562,0.1294475775244849,0.13862730047796146,-0.120308686608228
up,False,4,0,1.4943735531912052,1.640287172957626,0.6096493446308461,1.4943735531912052,0.669176724831967,1.79585450127717,0.5568379839729907,31.58299934127193,2.631916611772661,0.6493298050712661,0,0.9190556792488439,0.5654836077066305,0.8335216081911601,0.48611566274405504
down,True,3,1,0.8084368682417559,0.9024718538566914,1.1080677981551719,0.8084368682417559,1.2369549673988383,0.9386657428376993,1.0653419575927847,16.55364197371768,1.3794701644764735,0.682789540420585,4,1.0879999965014775,0.1554200862887875,0.16891591877881001,-0.2969938332761788
